doc_id,budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,topic,prevalence,topic_num
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_7,7.028813893955772e-4,7
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_8,1.7719366652516527e-4,8
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_9,1.1702702860745479e-4,9
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_10,0.2397408366354637,10
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_1,9.144141328277909e-5,1
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_2,0.32820204828477506,2
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_3,2.2095499763639595e-4,3
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_4,3.2518045368225455e-5,4
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_5,0.29381173452234827,5
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_6,0.3741149043608649,6
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_7,2.2887991983432148e-4,7
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_8,1.2351681308819023e-4,8
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_9,5.022573153182836e-4,9
bs199596,1995-96,1995,full,Manmohan Singh,INC,INC,topic_10,0.0026717443274836255,10
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_1,1.41881633222749e-4,1
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_2,2.6710961635702723e-4,2
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_3,2.090700907151548e-4,3
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_4,2.1711694057135425e-4,4
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_5,1.316782173032717e-4,5
